Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CH,NL,NO,1,1,live,,Z,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CH,PT,,2,1,live,,Z,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CZ,IT,,1,1,live,,Z,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,DE,PL,DE,1,,live,,B,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,DE,PL,DE,,1,live,,Z,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,ES,HR,DK,,1,live,,Z,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,HR,ES,,1,1,live,,Z,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,HU,DE,DK,1,1,live,,Z,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,HU,SE,NO,,1,live,,Z,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,JP,CN,,,2,live,,Z,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,NL,CH,FI,1,,live,,Z,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,NL,CH,FI,,1,live,,,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,PL,DE,DK,1,1,live,,Z,C
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,SG,CN,,4,8,live,,Z,F
2000,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,US,HU,US,,1,live,,Z,C
2000,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,SV,GT,XX,4,,live,,Q,C
2000,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CZ,NL,,2,2,live,,Z,C
2000,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CZ,SK,,1,1,live,,Z,C
2000,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,HR,DE,,1,1,live,,Z,C
2000,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,MX,US,,12,,live,,B,F
2000,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,MX,US,,,11,live,,T,F
2000,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,MX,US,,3,,live,,Z,C
2000,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,PT,CZ,,1,1,live,,Z,C
2000,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,QA,IL,,,6,live,,Z,C
2000,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,US,CA,,,8,live,,B,C
2000,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,US,CA,,1,,live,,T,C
2000,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,US,CA,,5,,live,,T,F
2000,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,US,CA,,1,,live,,Z,C
2000,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,EE,US,,4,,live,,Z,
2000,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,EE,US,,,4,live,,,C
2000,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,ID,SG,,3,,live,,Z,C
2000,I,Bos mutus,Mammalia,Artiodactyla,Bovidae,Bos,HU,NL,,1,1,live,,Z,C
2000,I,Bubalus depressicornis,Mammalia,Artiodactyla,Bovidae,Bubalus,DE,CZ,,1,1,live,,Z,C
2000,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,AE,NL,DE,,1,live,,T,C
2000,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,AE,NL,DE,,9,live,,Z,C
2000,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,AE,NL,DE,6,,live,,,C
2000,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CZ,RU,,,1,live,,Z,C
2000,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,KR,US,ID,1,,live,,Z,D
2000,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,KZ,SK,,2,,live,,Z,C
2000,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,US,,,3,live,,T,C
2000,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,US,,3,,live,,Z,F
2000,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,RU,CZ,,,1,live,,Z,C
2000,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,SK,KZ,,2,,live,,Z,C
2000,I,Naemorhedus goral,Mammalia,Artiodactyla,Bovidae,Naemorhedus,DE,PL,US,2,,live,,Z,F
2000,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,MA,DE,,5,,live,,Z,C
2000,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AE,BH,,12,,live,,,C
2000,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,DE,,1,1,live,,Z,C
2000,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HR,CZ,,,2,live,,Z,C
2000,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HR,DE,,2,2,live,,Z,C
2000,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MA,AE,,2,,live,,Z,C
2000,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NC,NZ,,,3,live,,Z,C
2000,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NL,CZ,,,4,live,,B,C
2000,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,QA,BE,,,5,live,,Z,C
2000,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,QA,IL,,,6,live,,Z,C
2000,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,TN,FR,,3,3,live,,Z,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,AE,JO,,,6,live,,B,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,AE,JO,,20,,live,,,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,AE,US,,,40,live,,,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,AE,US,,40,,live,,,F
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,BE,CH,AE,1,,live,,Z,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,BE,CH,AE,,1,live,,,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,CH,,1,,live,,Z,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,CH,,,1,live,,,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,DE,CH,,1,,live,,B,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,DE,CH,,,1,live,,,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,MA,AE,,2,,live,,Z,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,MX,US,,3,,live,,Z,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,PK,AE,,,1,live,,T,C
2000,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,SA,JO,,12,,live,,P,C
2000,I,Ovis aries,Mammalia,Artiodactyla,Bovidae,Ovis,ZA,US,,,6,live,,E,C
2000,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,CA,DE,,5,,live,,B,C
2000,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,CA,DE,,,5,live,,Z,C
2000,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,CA,IE,,2,,live,,B,F
2000,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,PL,DE,,2,2,live,,Z,C
2000,I,Speothos venaticus,Mammalia,Carnivora,Canidae,Speothos,JP,CZ,,1,1,live,,Z,C
2000,I,Speothos venaticus,Mammalia,Carnivora,Canidae,Speothos,US,CZ,,,3,live,,Z,C
2000,I,Speothos venaticus,Mammalia,Carnivora,Canidae,Speothos,US,CZ,,4,,live,,,C
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,AT,CH,,,2,live,,,F
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,CH,DE,,1,1,live,,Z,C
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,CZ,BE,NL,1,,live,,Z,C
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,CZ,BE,,,1,live,,Z,C
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,CZ,CH,,4,,live,,Z,F
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,CZ,CH,,,4,live,,,F
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,FR,CH,,1,,live,,Z,C
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,FR,CH,,,1,live,,,C
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,GB,JE,,,1,live,,B,C
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,HU,CH,,2,,live,,Z,C
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,HU,CH,,,2,live,,,F
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,RU,CH,,4,,live,,Z,C
2000,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,RU,CH,,,2,live,,,C
2000,I,Leontopithecus spp.,Mammalia,Primates,Cebidae,Leontopithecus,NZ,AU,,4,,live,,Z,C
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,BE,CH,,,1,live,,,C
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,DE,CH,,,3,live,,,C
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,DK,PT,,,1,live,,Z,F
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,ES,PT,,,1,live,,Z,F
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,GB,JE,,,1,live,,B,C
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,HU,CH,,6,,live,,T,C
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,HU,CH,,,6,live,,,C
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,MY,CH,,2,,live,,Z,C
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,MY,CH,,,2,live,,,C
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,SG,PT,ES,,1,live,,Z,C
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,SG,PT,,2,,live,,Z,C
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,SG,PT,,,1,live,,Z,F
2000,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,ZA,HU,,1,,live,,B,C
2000,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,AU,JP,,1,2,live,,Z,C
2000,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,BR,US,GB,,1,live,,T,C
2000,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,BR,US,,,5,live,,T,C
2000,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,CH,FR,,,1,live,,Z,C
2000,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,CZ,DK,CH,1,1,live,,Z,C
