Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2000,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,EE,US,,4,,live,,Z,
2000,I,Pudu puda,Mammalia,Artiodactyla,Cervidae,Pudu,ZA,DE,,2,,live,,Z,
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,CA,US,XX,6,,live,,Q,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,CN,MY,,20,10,live,,Z,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,CR,MX,,2,,live,,Q,U
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,CR,PA,XX,,2,live,,Q,
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,CZ,ES,XX,1,,live,,Q,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,DO,PA,XX,,1,live,,Q,
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,ES,CZ,XX,,1,live,,Q,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,ES,US,IN,,3,live,,,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,GE,LA,,2,,live,,Z,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,KR,MY,,2,2,live,,Z,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,MT,HU,XX,1,,live,,Q,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,MY,CN,MY,1,,live,,Q,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,NO,SE,IN,,3,live,,Q,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,PA,CR,XX,,1,live,,Q,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,PA,CR,,3,,live,,Q,
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,RO,PL,XX,,2,live,,Q,U
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,RO,PL,XX,2,,live,,Q,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,SV,CL,MX,,3,live,,Q,
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,TT,VE,IN,,1,live,,Q,U
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,UA,RU,XX,2,,live,,Q,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,US,AU,XX,,1,live,,Z,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,US,CA,TH,1,,live,,Q,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,US,CA,XX,7,,live,,Q,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,US,FR,IN,3,,live,,Q,W
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,VE,TT,IN,,1,live,,Q,U
2000,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,VE,TT,,1,,live,,Q,U
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BE,RU,NA,1,1,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DK,ZW,,2,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,FR,ZW,,1,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,IT,ZW,1,,live,,T,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,IT,ZW,,1,live,,Z,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CR,MX,,1,,live,,Q,U
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CR,NI,,,1,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CR,PA,XX,,1,live,,Q,
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,EE,ZW,2,4,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,PL,ZA,1,1,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,PL,ZW,3,3,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,BE,NA,1,,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,BE,ZW,2,,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,DE,ZW,1,,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,SE,ZW,2,,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DO,PA,XX,,1,live,,Q,
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,EE,LV,ZW,2,2,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,CH,ZW,2,,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,IL,XX,,1,live,,Z,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,LV,SE,ZW,2,2,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,PA,CR,XX,,1,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,PA,CR,,2,,live,,Q,
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,PL,SE,XX,3,,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,PL,SE,ZW,1,1,live,,Q,W
2000,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,CA,MZ,1,,live,,Q,W
2000,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,BR,ZA,,,1,live,,Z,W
2000,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,SZ,ZA,,2,,live,,B,W
2000,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,US,ZA,NA,,2,live,,B,W
2000,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,US,ZA,NA,2,,live,,,W
2000,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,ZA,ZW,,,1,live,,T,W
2000,I,Catopuma temminckii,Mammalia,Carnivora,Felidae,Catopuma,DE,VN,,2,,live,,B,W
2000,I,Catopuma temminckii,Mammalia,Carnivora,Felidae,Catopuma,DE,VN,,,3,live,,Z,W
2000,I,Catopuma temminckii,Mammalia,Carnivora,Felidae,Catopuma,SG,VN,,4,2,live,,Z,W
2000,I,Leopardus geoffroyi,Mammalia,Carnivora,Felidae,Leopardus,BR,UY,,1,,live,,Z,W
2000,I,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,PT,BR,,1,1,live,,Z,W
2000,I,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,RU,SK,,,1,live,,,
2000,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AE,SA,,,1,live,,S,
2000,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,RU,,,1,live,,Z,W
2000,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,MY,NP,,,2,live,,Z,
2000,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,CR,MX,,5,,live,,Q,U
2000,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,CR,PA,XX,,5,live,,Q,
2000,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,DO,PA,XX,,10,live,,Q,
2000,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,MX,GT,,,1,live,,P,W
2000,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,PA,CR,,15,,live,,Q,
2000,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,SG,MY,,1,1,live,,Z,W
2000,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,SG,VN,,1,1,live,,Z,W
2000,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,SV,CL,MX,,11,live,,Q,
2000,I,Panthera uncia,Mammalia,Carnivora,Felidae,Panthera,DE,RU,KG,1,,live,,B,W
2000,I,Panthera uncia,Mammalia,Carnivora,Felidae,Panthera,DE,RU,KG,,1,live,,Z,W
2000,I,Panthera uncia,Mammalia,Carnivora,Felidae,Panthera,JP,KZ,,1,1,live,,S,W
2000,I,Prionailurus bengalensis,Mammalia,Carnivora,Felidae,Prionailurus,CN,KH,,,1,live,,P,W
2000,I,Pan paniscus,Mammalia,Primates,Hominidae,Pan,CD,CG,,,2,live,,S,W
2000,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,AE,RU,XX,1,,live,,,W
2000,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,US,,,1,live,,,U
2000,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,GM,GN,,1,,live,,S,
2000,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,ZM,CF,,,2,live,,N,W
2000,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,ZM,NZ,XX,,1,live,,N,W
2000,I,Pongo pygmaeus,Mammalia,Primates,Hominidae,Pongo,GB,TW,,1,,live,,Z,U
2000,I,Bunopithecus hoolock,Mammalia,Primates,Hylobatidae,Bunopithecus,US,MM,,4,,live,,,W
2000,I,Hylobates agilis,Mammalia,Primates,Hylobatidae,Hylobates,GB,TW,,1,,live,,Z,U
2000,I,Hylobates lar,Mammalia,Primates,Hylobatidae,Hylobates,GB,TW,,1,,live,,Z,U
2000,I,Hylobates lar,Mammalia,Primates,Hylobatidae,Hylobates,HR,DE,XX,2,,live,,B,U
2000,I,Hylobates moloch,Mammalia,Primates,Hylobatidae,Hylobates,GB,TW,,2,,live,,Z,U
2000,I,Hylobates muelleri,Mammalia,Primates,Hylobatidae,Hylobates,GB,TW,,1,,live,,Z,U
2000,I,Nomascus gabriellae,Mammalia,Primates,Hylobatidae,Nomascus,GB,TW,,2,,live,,Z,U
